时间	桩号	地点	车速（km/h）	车牌
time	station	location	m_fSpeed	m_strCarNum
2021/4/25 15:15	K56+400	青龙立交	5005	蓝渝AX56V6
2021/4/25 15:15	K56+400	青龙立交	4860	蓝渝AE689B
2021/4/25 15:17	K56+400	青龙立交	4412	蓝渝F06K97
2021/4/25 15:17	K56+400	青龙立交	4559	蓝渝AT2587
2021/4/25 15:15	K56+400	青龙立交	4514	蓝渝F065P5
2021/4/25 15:17	K56+400	青龙立交	3100	蓝渝A1HL11
2021/4/25 15:16	K56+400	青龙立交	5461	蓝渝F6E979
2021/4/25 15:18	K56+400	青龙立交	4356	蓝渝F7U269
2021/4/25 15:16	K56+400	青龙立交	8587	蓝渝DLZ957
2021/4/25 15:18	K56+400	青龙立交	2171	蓝渝A5HW82
2021/4/25 15:16	K56+400	青龙立交	5040	绿渝AD98980
2021/4/25 15:16	K56+400	青龙立交	4200	蓝渝A622FH
2021/4/25 15:16	K56+400	青龙立交	4900	蓝渝F315B5
2021/4/25 15:18	K56+400	青龙立交	4934	蓝渝F07167
2021/4/25 15:18	K56+400	青龙立交	3991	蓝渝FBG258
2021/4/25 15:17	K56+400	青龙立交	4211	蓝渝F32B79
2021/4/25 15:17	K56+400	青龙立交	4713	蓝渝D79J73
2021/4/25 15:17	K56+400	青龙立交	4383	蓝渝F00P25
2021/4/25 15:19	K56+400	青龙立交	3376	蓝渝FND599
2021/4/25 15:19	K56+400	青龙立交	3931	蓝渝AW03K9
2021/4/25 15:17	K56+400	青龙立交	4339	蓝渝AQ5V06
2021/4/25 15:17	K56+400	青龙立交	4328	蓝渝F837M8
2021/4/25 15:19	K56+400	青龙立交	4963	蓝桂LDD038
2021/4/25 15:19	K56+400	青龙立交	5081	蓝渝F9A099
2021/4/25 15:19	K56+400	青龙立交	4389	蓝渝HDR777
2021/4/25 15:17	K56+400	青龙立交	4360	蓝渝A70T35
2021/4/25 15:19	K56+400	青龙立交	4427	蓝渝A316BG
2021/4/25 15:17	K56+400	青龙立交	4353	蓝渝D50W03
2021/4/25 15:17	K56+400	青龙立交	3621	蓝渝A0WC69
2021/4/25 15:17	K56+400	青龙立交	4387	绿渝AF00527
2021/4/25 15:19	K56+400	青龙立交	4905	蓝渝DBT616
2021/4/25 15:17	K56+400	青龙立交	4304	蓝渝A95UV8
2021/4/25 15:19	K56+400	青龙立交	4496	蓝渝DLT009
2021/4/25 15:17	K56+400	青龙立交	4798	蓝渝A990LR
2021/4/25 15:17	K56+400	青龙立交	4023	NO
2021/4/25 15:18	K56+400	青龙立交	4715	蓝渝AY7Q15
2021/4/25 15:19	K56+400	青龙立交	4059	NO
2021/4/25 15:19	K56+400	青龙立交	4912	蓝渝F19K33
2021/4/25 15:20	K56+400	青龙立交	4083	蓝浙K221T9
2021/4/25 15:18	K56+400	青龙立交	5891	蓝渝FX2801
2021/4/25 15:20	K56+400	青龙立交	4006	蓝渝F509F0
2021/4/25 15:18	K56+400	青龙立交	6032	蓝渝AA763E
2021/4/25 15:18	K56+400	青龙立交	4171	蓝渝F0T816
2021/4/25 15:20	K56+400	青龙立交	4423	蓝渝A20XJ6
2021/4/25 15:20	K56+400	青龙立交	5237	蓝渝F8L031
2021/4/25 15:18	K56+400	青龙立交	5086	蓝渝FPK099
2021/4/25 15:20	K56+400	青龙立交	3788	蓝渝FFP820
2021/4/25 15:18	K56+400	青龙立交	4645	蓝豫R664CS
2021/4/25 15:18	K56+400	青龙立交	4858	蓝渝A06DV1
2021/4/25 15:18	K56+400	青龙立交	5223	蓝渝F670B5
2021/4/25 15:19	K56+400	青龙立交	6388	蓝浙CX5W90
2021/4/25 15:19	K56+400	青龙立交	5790	蓝渝FEE353
2021/4/25 15:20	K56+400	青龙立交	5557	蓝渝A955Z0
2021/4/25 15:20	K56+400	青龙立交	2399	黄渝A18699D
2021/4/25 15:20	K56+400	青龙立交	3888	蓝渝A0QV33
2021/4/25 15:21	K56+400	青龙立交	3813	蓝渝D83T99
2021/4/25 15:19	K56+400	青龙立交	4559	绿渝AF22609
2021/4/25 15:21	K56+400	青龙立交	3630	NO
2021/4/25 15:21	K56+400	青龙立交	4216	蓝渝AJ336X
2021/4/25 15:21	K56+400	青龙立交	3598	蓝贵A5UG14
2021/4/25 15:21	K56+400	青龙立交	3864	蓝鄂QH5N79
2021/4/25 15:19	K56+400	青龙立交	4733	绿渝ADE8287
2021/4/25 15:19	K56+400	青龙立交	4755	蓝渝F7W895
2021/4/25 15:21	K56+400	青龙立交	2682	蓝渝FMM588
2021/4/25 15:19	K56+400	青龙立交	4404	蓝青H65281
2021/4/25 15:19	K56+400	青龙立交	5365	蓝渝F93A30
2021/4/25 15:21	K56+400	青龙立交	3448	蓝渝A9DF97
2021/4/25 15:19	K56+400	青龙立交	5226	蓝渝F9X593
2021/4/25 15:20	K56+400	青龙立交	4559	蓝渝FJX606
2021/4/25 15:20	K56+400	青龙立交	5066	蓝渝FAB560
2021/4/25 15:20	K56+400	青龙立交	4867	蓝渝FJA377
2021/4/25 15:22	K56+400	青龙立交	4450	蓝渝AW0D39
2021/4/25 15:20	K56+400	青龙立交	4913	蓝渝AN0M08
2021/4/25 15:20	K56+400	青龙立交	4905	NO
2021/4/25 15:20	K56+400	青龙立交	5452	蓝渝DHE738
2021/4/25 15:22	K56+400	青龙立交	3918	蓝渝F938E8
2021/4/25 15:20	K56+400	青龙立交	6025	蓝渝DCS816
2021/4/25 15:22	K56+400	青龙立交	4628	蓝鄂QJ71G8
2021/4/25 15:22	K56+400	青龙立交	4697	蓝渝F7C037
2021/4/25 15:20	K56+400	青龙立交	5025	蓝渝F62J38
2021/4/25 15:22	K56+400	青龙立交	3840	蓝渝AVZ620
2021/4/25 15:22	K56+400	青龙立交	3978	绿渝ADA3539
2021/4/25 15:20	K56+400	青龙立交	5015	蓝渝F28D13
